site,transect,spcode,start,stop
BLM,A1,LARTRI,7.3,10.3
BLM,A1,LARTRI,11,12.6
BLM,A1,OPUMAC,11.4,12.2
BLM,A1,LARTRI,15.5,16.3
BLM,A1,LARTRI,16.6,17.3
BLM,A1,LARTRI,18,18.1
BLM,A1,LARTRI,20.6,21.4
BLM,A1,PROGRA,21.9,24.6
BLM,A1,LARTRI,25.9,26.3
BLM,A1,LARTRI,27.1,28
BLM,A1,LARTRI,31,31.9
BLM,A1,LARTRI,33,33.9
BLM,A1,LARTRI,35.3,35.5
BLM,A1,LARTRI,41.3,42.5
BLM,A1,PARINC,42.5,42.8
BLM,A1,LARTRI,43.1,44.5
BLM,A1,OPUMAC,43.4,43.6
BLM,A1,PARINC,43.7,43.8
BLM,A1,PARINC,44,44.6
BLM,A1,PARINC,46.4,47.9
BLM,A1,OPUMAC,47.3,47.5
BLM,A2,PARINC,0.5,1
BLM,A2,PARINC,1.2,1.6
BLM,A2,LARTRI,3.2,4.1
BLM,A2,PARINC,4.8,4.9
BLM,A2,PARINC,5.4,5.8
BLM,A2,LARTRI,5.7,6.7
BLM,A2,PARINC,5.9,6.3
BLM,A2,LARTRI,7.1,8.2
BLM,A2,PROGRA,8.2,10.1
BLM,A2,PROGRA,10.3,11.2
BLM,A2,PROGRA,11.2,11.9
BLM,A2,PARINC,11.4,11.55
BLM,A2,LARTRI,12.7,13.15
BLM,A2,LARTRI,14.1,14.6
BLM,A2,PARINC,14.8,15.2
BLM,A2,LARTRI,14.8,15.7
BLM,A2,LARTRI,15.9,17
BLM,A2,PARINC,17,17.2
BLM,A2,LARTRI,17,18.4
BLM,A2,LARTRI,19.8,20.9
BLM,A2,LARTRI,19.75,21
BLM,A2,PARINC,20,20.5
BLM,A2,LARTRI,21.9,22.1
BLM,A2,LARTRI,22.9,23.6
BLM,A2,LARTRI,23.9,25
BLM,A2,LARTRI,26.8,28
BLM,A2,PARINC,27.7,28.1
BLM,A2,LARTRI,27.3,28.6
BLM,A2,LARTRI,28.6,29.2
BLM,A2,LARTRI,29.3,30.5
BLM,A2,PARINC,29.55,29.95
BLM,A2,LARTRI,30.6,31.1
BLM,A2,LARTRI,31.1,32.6
BLM,A2,OPUMAC,31.15,31.25
BLM,A2,PARINC,31.2,31.6
BLM,A2,LARTRI,34.5,36.1
BLM,A2,PARINC,34.6,35.1
BLM,A2,LARTRI,37,38.8
BLM,A2,PARINC,38.1,38.5
BLM,A2,PARINC,40.7,41
BLM,A2,LARTRI,41.7,41.8
BLM,A2,PARINC,40.75,41
BLM,A2,LARTRI,43.9,44.7
BLM,A2,LARTRI,45.45,45.7
BLM,A2,PARINC,47.7,48.2
BLM,A2,LARTRI,47.7,50
SLEEPY,A10,ABICON,0.5,1.3
SLEEPY,A10,PSEMEN,0.1,2.1
SLEEPY,A10,PSEMEN,2.1,7.5
SLEEPY,A10,PSEMEN,7.7,15
SLEEPY,A10,PSEMEN,20,25
SLEEPY,A10,PSEMEN,22,30.4
SLEEPY,A10,PSEMEN,38.9,46.8
SLEEPY,A10,PSEMEN,46.6,49.9
