site,transect,spcode,start,stop
BLM,D1,LARTRI,0.85,3.7
BLM,D1,PROGLA,3.7,8.3
BLM,D1,LARTRI,5.5,6.2
BLM,D1,LARTRI,11.9,12.6
BLM,D1,PARINC,12.2,12.7
BLM,D1,PARINC,12.6,13.35
BLM,D1,PARINC,14.5,15.1
BLM,D1,PARINC,16.2,16.6
BLM,D1,PARINC,16.4,16.7
BLM,D1,PARINC,18.15,18.3
BLM,D1,LARTRI,17.6,19.1
BLM,D1,PORSCO,19.65,19.85
BLM,D1,LARTRI,19.5,20.1
BLM,D1,PORSCO,24.6,24.95
BLM,D1,BRILAC,25,26.65
BLM,D2,BRILAC,0,2.7
BLM,D2,BRILAC,13.7,17.1
BLM,D2,CHILIN,15.52,15.55
BLM,D2,LARTRI,19.4,19.7
BLM,D2,LARTRI,26.55,26.75
BLM,D2,LARTRI,27.6,28.5
BLM,D2,LARTRI,27.6,28.5
BLM,D2,LARTRI,29.15,29.5
BLM,D2,LARTRI,31.15,31.9
BLM,D2,LARTRI,32.05,32.9
BLM,D2,LARTRI,41.95,43.2
BLM,D3,LARTRI,0,0.9
BLM,D3,LARTRI,1.1,2.6
BLM,D3,PROGLA,3.4,3.5
BLM,D3,LARTRI,4,5.2
BLM,D3,PROGLA,7,7.1
BLM,D3,LARTRI,8.1,8.5
BLM,D3,PROGLA,11.6,12
BLM,D3,LARTRI,12.5,15.3
BLM,D3,LARTRI,16.2,16.55
BLM,D3,PROGLA,17.25,20.45
BLM,D3,PROGLA,23,28.4
BLM,D3,LARTRI,28.4,28.9
BLM,D3,PROGLA,30.1,32.3
BLM,D3,LARTRI,36.6,38.7
BLM,D3,LARTRI,39.5,40.7
BLM,D3,LARTRI,46.1,47.8
BRIDAL,D1,RHYTRI,4.4,5.55
BRIDAL,D1,CERBRE,5.6,6.5
BRIDAL,D1,AGANEO,6.55,6.7
BRIDAL,D1,PARINC,6.5,6.9
BRIDAL,D1,RHYTRI,13.2,13.7
BRIDAL,D1,CERMON,15.9,16
BRIDAL,D1,NOLMIC,16.9,18.1
BRIDAL,D1,NOLMIC,18,18.65
BRIDAL,D1,NOLMIC,20.55,21.2
BRIDAL,D1,NOLMIC,22.75,23.5
BRIDAL,D1,RHYTRI,24,25.35
BRIDAL,D1,CERMON,24.45,25
BRIDAL,D1,CERMON,29.5,29.85
BRIDAL,D1,CERMON,31.7,33
BRIDAL,D1,CERMON,33.6,34.2
BRIDAL,D1,CERMON,35.3,35.4
BRIDAL,D1,JUNMON,37.5,37.55
BRIDAL,D1,CERMON,37.55,37.8
BRIDAL,D1,PUN (sp),38.35,38.55
BRIDAL,D1,JUNMON,39.25,41
BRIDAL,D1,KOBSPI,45.95,48.2
BRIDAL,D1,NOLMIC,47.35,48.2
BRIDAL,D1,PINEDU,47.8,50
BRIDAL,D1,CERMON,48.5,49
BRIDAL,D1,broadleafaster,33.65,34.8
BRIDAL,D2,PUN (sp),4,4.7
BRIDAL,D2,PROGLA,4.1,5.3
BRIDAL,D2,RHYTRI,5.9,7
BRIDAL,D2,MAHHAE,7.5,9.8
BRIDAL,D2,RHYTRI,9.2,10.25
BRIDAL,D2,PUN (sp),10.25,11.2
BRIDAL,D2,RHYTRI,23.9,25.1
BRIDAL,D2,JUNMON,24.85,25.1
BRIDAL,D2,YUCBAC,25,25.5
BRIDAL,D2,YUCBAC,25.4,26
BRIDAL,D2,PUN (sp),37,38.1
BRIDAL,D2,PUN (sp),39.7,39.8
BRIDAL,D2,JUNMON,41.9,45.2
BRIDAL,D2,JUNMON,43.5,44.3
BRIDAL,D2,YUCBAC,46.9,47.5
BRIDAL,D2,JUNMON,48.25,50
CALICO,D1,AGANEO,0.2,1.4
CALICO,D1,JUNMON,0.5,2.35
CALICO,D1,RHYTRI,2.1,3.1
CALICO,D1,RHYTRI,4.1,4.8
CALICO,D1,RHYTRI,6.8,7.55
CALICO,D1,NOLMIC,10.1,11.1
CALICO,D1,RHYTRI,10.75,11.3
CALICO,D1,JUNMON,14.2,18.5
CALICO,D1,YUCBAC,19.5,20.1
CALICO,D1,YUCBAC,20.1,21.2
CALICO,D1,JUNMON,19.65,25.7
CALICO,D1,PINEDU,23.5,24
CALICO,D1,CERBRE,24.05,24.15
CALICO,D1,(sagebrush),26,27.05
CALICO,D1,PINEDU,28.05,28.55
CALICO,D1,JUNMON,26.7,31.1
CALICO,D1,PINEDU,30.7,32.5
CALICO,D1,YUCBAC,30.4,30.6
CALICO,D1,JUNMON,31.1,32.2
CALICO,D1,JUNMON,31.15,33.2
CALICO,D1,QUE sp,33,33.75
CALICO,D1,JUNMON,35.1,37.7
CALICO,D1,CERBRE,37.6,38.25
CALICO,D1,JUNMON,39.5,40.9
CALICO,D1,JUNMON,42.65,45.7
CALICO,D1,PINEDU,44.5,45.2
CALICO,D1,PINEDU,45.6,46.1
CALICO,D1,CERBRE,47.55,47.9
CALICO,D1,CERBRE,49.55,50
CALICO,D2,PINEDU,0.2,2.35
CALICO,D2,RHYTRI,1.4,1.5
CALICO,D2,PUN (sp),1.6,1.7
CALICO,D2,JUNMON,4.7,7.1
CALICO,D2,PUN (sp),7,7.3
CALICO,D2,PINEDU,5.6,9.4
CALICO,D2,JUNMON,7.7,8.4
CALICO,D2,YUCBAC,9.6,10.2
CALICO,D2,JUNMON,10.55,13.1
CALICO,D2,JUNMON,14.3,14.5
CALICO,D2,JUNMON,15.6,17.1
CALICO,D2,YUCBAC,15.7,16.4
CALICO,D2,PINEDU,17.5,18.9
CALICO,D2,JUNMON,19.45,20.75
CALICO,D2,PINEDU,20.9,21.85
CALICO,D2,JUNMON,24.35,25.3
CALICO,D2,JUNMON,25.8,26.8
CALICO,D2,YUCBAC,27,28.15
CALICO,D2,PINEDU,33.5,33.65
CALICO,D2,YUCBAC,33.6,34.15
CALICO,D2,NOLMIC,33.7,35.2
CALICO,D2,JUNMON,31.5,35.9
CALICO,D2,PINEDU,33.8,34.3
CALICO,D2,JUNMON,38.25,49.7
CALICO,D2,PINEDU,47.5,48.4
BAILEY,D1,HOLDIS,4.5,5.25
BAILEY,D1,ABICON,0,12
BAILEY,D1,(toothy shrub),8.05,8.4
