site,transect,spcode,start,stop
Bridal, A3,CERBRE,0,1.5
Bridal, A3,(broad-leaf-aster),1.25,1.3
Bridal, A3,(mystery-aster),2.3,2.55
Bridal, A3,DALFOR,5,5.4
Bridal, A3,MAHHAE,5.3,6.2
Bridal, A3,DALFOR,5.5,5.8
Bridal, A3,PINEDU,8.9,14.3
Bridal, A3,JUNMON,12.5,16.5
Bridal, A3,RHYTRI,15.1,16.4
Bridal, A3,YUCBAC,19.4,19.6
Bridal, A3,CERBRE,20.6,21.2
Bridal, A3,(quercus),22.3,22.6
Bridal, A3,YUCBAC,22.6,23.2
Bridal, A3,MAHHAE,22.9,23.4
Bridal, A3,(quercus),23,23.25
Bridal, A3,YUCBAC,23.2,23.5
Bridal, A3,(quercus),23.6,23.75
Bridal, A3,(quercus),23.9,24.2
Bridal, A3,(broad-leaf-aster),24.2,24.7
Bridal, A3,(quercus),24.3,24.55
Bridal, A3,RHYTRI,25.7,26
Bridal, A3,CERBRE,27.6,28.1
Bridal, A3,CERBRE,29.3,29.65
Bridal, A3,CERBRE,30.1,30.6
Bridal, A3,OPUMAC,30.95,31.2
Bridal, A3,(broad-leaf-aster),35.2,35.24
Bridal, A3,(mystery-aster),35.3,35.4
Bridal, A3,(mystery-aster),38.34,38.45
Bridal, A3,YUCBAC,40.9,41.4
Bridal, A3,CERBRE,41,41.75
Bridal, A3,RHYTRI,42.3,
Bridal, A3,YUCBAC,45,45.7
Bridal, A3,PARINC,45.5,45.8
Bridal, A3,PARINC,47.2,48.2
Bridal, A3,YUCBAC,46.7,47.4
Bridal,A4,CERBRE,0,0.9
Bridal,A4,YUCBAC,0.5,0.9
Bridal,A4,YUCBAC,0.9,1.8
Bridal,A4,JUNMON,1.7,1.9
Bridal,A4,YUCBAC,1.9,2.05
Bridal,A4,(mystery-aster),2.6,2.8
Bridal,A4,(broad-leaf-aster),4.55,4.6
Bridal,A4,CERBRE,4.7,6.2
Bridal,A4,CERBRE,6.4,7.6
Bridal,A4,CERBRE,8.6,9.7
Bridal,A4,CERBRE,9.8,11
Bridal,A4,(broad-leaf-aster),10.8,10.9
Bridal,A4,MAHHAE,11.1,12
Bridal,A4,CERBRE,11.9,12.4
Bridal,A4,RHYTRI,13,13.3
Bridal,A4,CERBRE,13.7,14
Bridal,A4,CERBRE,16.1,17.2
Bridal,A4,RHYTRI,17.4,18.1
Bridal,A4,JUNMON,19.2,21.6
Bridal,A4,(broad-leaf-aster),20.1,20.15
Bridal,A4,CERBRE,20.8,21.5
Bridal,A4,RHYTRI,26.6,27.7
Bridal,A4,CERBRE,28.1,29.1
Bridal,A4,RHYTRI,32.2,33
Bridal,A4,CERBRE,32.7,33.4
Bridal,A4,RHYTRI,34.5,35
Bridal,A4,CERBRE,35.1,36.2
Bridal,A4,RHYTRI,37.2,38.9
Bridal,A4,RHYTRI,38,38.8
Bridal,A4,MAHHAE,39.2,39.2
Bridal,A4,RHYTRI,49.5,50
Calico,A5,JUNMON,0,0.6
Calico,A5,JUNMON,1.8,3.6
Calico,A5,JUNMON,3.8,5.6
Calico,A5,PINEDU,5.2,7
Calico,A5,JUNMON,6.6,7.6
Calico,A5,JUNMON,6.6,9.5
Calico,A5,PINEDU,11.8,12.2
Calico,A5,JUNMON,12,13.5
Calico,A5,OPUMAC,13.5,13.9
Calico,A5,PINEDU,13.65,16.9
Calico,A5,PINEDU,16.95,17.3
Calico,A5,JUNMON,17.9,19.2
Calico,A5,JUNMON,21.4,22.5
Calico,A5,JUNMON,28.1,29.2
Calico,A5,JUNMON,29.3,31.5
Calico,A5,JUNMON,30.4,33
Calico,A5,JUNMON,34.2,35.55
Calico,A5,PINEDU,38.1,39.5
Calico,A5,YUCBAC,39.9,40.5
Calico,A5,PINEDU,46.8,47.5
Calico,A5,JUNMON,45.7,49
Calico,A5,PINEDU,49.5,49.9
